1.07461e-07 0 0 0 3.34975e+51 2.40439e+60 0 0 2.51422e+43 6.84151e+57 4.64348e+42 0 0 0
1.24094e-07 0 0 0 3.79047e+51 2.14061e+60 0 0 2.90337e+43 5.9245e+57 4.64348e+42 0 0 0
1.43301e-07 0 0 0 4.27934e+51 1.90137e+60 0 0 3.35276e+43 5.13041e+57 4.64348e+42 0 0 0
1.65482e-07 0 0 0 4.819e+51 1.68452e+60 0 0 3.87171e+43 4.44275e+57 4.64348e+42 0 0 0
1.91095e-07 0 0 1.79846e-256 5.41151e+51 1.48817e+60 0 0 4.47098e+43 3.84726e+57 4.64348e+42 0 0 0
2.20673e-07 0 0 3.28851e-215 6.05813e+51 1.31056e+60 0 0 5.16301e+43 3.33159e+57 4.64348e+42 0 0 0
2.5483e-07 0 0 1.79307e-179 6.759e+51 1.15016e+60 0 0 5.96215e+43 2.88504e+57 4.64348e+42 0 0 0
2.94273e-07 0 0 1.60315e-148 7.51293e+51 1.00555e+60 0 0 6.88498e+43 2.49834e+57 4.64348e+42 0 0 0
3.39821e-07 0 0 1.02837e-121 8.31708e+51 8.75455e+59 0 0 7.95065e+43 2.16348e+57 4.64348e+42 0 0 0
3.92419e-07 0 0 1.69908e-98 9.16678e+51 7.58747e+59 0 0 9.18127e+43 1.87349e+57 4.64348e+42 0 0 0
4.53158e-07 0 0 2.18689e-78 1.00554e+52 6.54388e+59 0 0 1.06024e+44 1.62238e+57 4.64348e+42 0 0 0
5.23299e-07 0 0 5.71773e-61 1.09745e+52 5.61442e+59 0 0 1.22434e+44 1.40492e+57 4.64348e+42 0 0 0
6.04296e-07 0 0 6.96389e-46 1.19142e+52 4.79053e+59 0 0 1.41385e+44 1.21661e+57 4.64348e+42 0 0 0
6.97831e-07 0 0 8.10727e-33 1.28638e+52 4.06435e+59 0 0 1.63269e+44 1.05354e+57 4.64348e+42 0 0 0
