2.25357e+06 4.56806e-23 4.47875e-23 4.47875e-23 1.35256e-22 1.08149e-22 6.37284e-22
2.83708e+06 2.8967e-23 2.83299e-23 2.83299e-23 8.56268e-23 4.26111e-23 2.51381e-22
3.57167e+06 1.81466e-23 1.77133e-23 1.77133e-23 5.35733e-23 1.67889e-23 9.91591e-23
4.49647e+06 1.12539e-23 1.09605e-23 1.09605e-23 3.31749e-23 6.61489e-24 3.9114e-23
5.66072e+06 6.92849e-24 6.73409e-24 6.73409e-24 2.03967e-23 2.60629e-24 1.54288e-23
7.12643e+06 4.24981e-24 4.12733e-24 4.12733e-24 1.25045e-23 1.02689e-24 6.08601e-24
8.97164e+06 2.60608e-24 2.5294e-24 2.5294e-24 7.66488e-24 4.04597e-25 2.40067e-24
1.12946e+07 1.60732e-24 1.56005e-24 1.56005e-24 4.72741e-24 1.59413e-25 9.46962e-25
1.42191e+07 1.00347e-24 9.76004e-25 9.76004e-25 2.95548e-24 6.28091e-26 3.73536e-25
1.79008e+07 6.37577e-25 6.22446e-25 6.22446e-25 1.88247e-24 2.4747e-26 1.47344e-25
2.25357e+07 4.13825e-25 4.05933e-25 4.05933e-25 1.22569e-24 9.7504e-27 5.81209e-26
2.83708e+07 2.73659e-25 2.6966e-25 2.6966e-25 8.12979e-25 3.84169e-27 2.29262e-26
3.57167e+07 1.82975e-25 1.80846e-25 1.80846e-25 5.44667e-25 1.51364e-27 9.04342e-27
4.49647e+07 1.22482e-25 1.21188e-25 1.21188e-25 3.64858e-25 5.96379e-28 3.56724e-27
5.66072e+07 8.12242e-26 8.02783e-26 8.02783e-26 2.41781e-25 2.34976e-28 1.40713e-27
7.12643e+07 5.29017e-26 5.21223e-26 5.21223e-26 1.57146e-25 9.25812e-29 5.55051e-28
8.97164e+07 3.36321e-26 3.29881e-26 3.29881e-26 9.96083e-26 3.64773e-29 2.18944e-28
1.12946e+08 2.07809e-26 2.0271e-26 2.0271e-26 6.1323e-26 1.43722e-29 8.6364e-29
1.42191e+08 1.24444e-26 1.2059e-26 1.2059e-26 3.65625e-26 5.66269e-30 3.40669e-29
1.79008e+08 7.21423e-27 6.93965e-27 6.93965e-27 2.10935e-26 2.23112e-30 1.34379e-29
2.25357e+08 4.05258e-27 3.87131e-27 3.87131e-27 1.17952e-26 8.79068e-31 5.30069e-30
2.83708e+08 2.21277e-27 2.10159e-27 2.10159e-27 6.41595e-27 3.46356e-31 2.0909e-30
3.57167e+08 1.18003e-27 1.11554e-27 1.11554e-27 3.4111e-27 1.36465e-31 8.2477e-31
4.49647e+08 6.18362e-28 5.82738e-28 5.82738e-28 1.78384e-27 5.37678e-32 3.25336e-31
5.66072e+08 3.20109e-28 3.01208e-28 3.01208e-28 9.22526e-28 2.11847e-32 1.28331e-31
7.12643e+08 1.64337e-28 1.54517e-28 1.54517e-28 4.7337e-28 8.34685e-33 5.06212e-32
8.97164e+08 8.37644e-29 7.86803e-29 7.86803e-29 2.41125e-28 3.28869e-33 1.99679e-32
1.12946e+09 4.22306e-29 3.95624e-29 3.95624e-29 1.21355e-28 1.29575e-33 7.87649e-33
1.42191e+09 2.09234e-29 1.95136e-29 1.95136e-29 5.99506e-29 5.10532e-34 3.10694e-33
1.79008e+09 1.00829e-29 9.33335e-30 9.33335e-30 2.87496e-29 2.01151e-34 1.22555e-33
2.25357e+09 4.66775e-30 4.26972e-30 4.26972e-30 1.32072e-29 7.92543e-35 4.83429e-34
2.83708e+09 2.04844e-30 1.84407e-30 1.84407e-30 5.73657e-30 3.12265e-35 1.90692e-34
3.57167e+09 8.40007e-31 7.42155e-31 7.42155e-31 2.32432e-30 1.23033e-35 7.52199e-35
4.49647e+09 3.17706e-31 2.74937e-31 2.74937e-31 8.6758e-31 4.84755e-36 2.9671e-35
5.66072e+09 1.09484e-31 9.2585e-32 9.2585e-32 2.94654e-31 1.90995e-36 1.1704e-35
7.12643e+09 3.38805e-32 2.79456e-32 2.79456e-32 8.97717e-32 7.52528e-37 4.61671e-36
8.97164e+09 9.2103e-33 7.39813e-33 7.39813e-33 2.40066e-32 2.96499e-37 1.8211e-36
1.12946e+10 2.13314e-33 1.66911e-33 1.66911e-33 5.47136e-33 1.16821e-37 7.18344e-37
1.42191e+10 4.00932e-34 3.06891e-34 3.06891e-34 1.01471e-33 4.60281e-38 2.83356e-37
1.79008e+10 5.63103e-35 4.24206e-35 4.24206e-35 1.41152e-34 1.81352e-38 1.11772e-37
2.25357e+10 5.20036e-36 3.86684e-36 3.86684e-36 1.2934e-35 7.14534e-39 4.40892e-38
2.83708e+10 3.87177e-37 2.86601e-37 2.86601e-37 9.60378e-37 2.81529e-39 1.73913e-38
3.57167e+10 1.68898e-38 1.21607e-38 1.21607e-38 4.12112e-38 1.10923e-39 6.86014e-39
4.49647e+10 0 0 0 0 4.37041e-40 2.70603e-39
5.66072e+10 0 0 0 0 1.72196e-40 1.06741e-39
7.12643e+10 0 0 0 0 6.78457e-41 4.21049e-40
8.97164e+10 0 0 0 0 2.67315e-41 1.66086e-40
1.12946e+11 0 0 0 0 1.05323e-41 6.55138e-41
1.42191e+11 0 0 0 0 4.14976e-42 2.58424e-41
1.79008e+11 0 0 0 0 1.63502e-42 1.01937e-41
2.25357e+11 0 0 0 0 6.44203e-43 4.02099e-42
2.83708e+11 0 0 0 0 2.53818e-43 1.58611e-42
3.57167e+11 0 0 0 0 1.00005e-43 6.25652e-43
4.49647e+11 0 0 0 0 3.94024e-44 2.46793e-43
5.66072e+11 0 0 0 0 1.55247e-44 9.73493e-44
7.12643e+11 0 0 0 0 6.11678e-45 3.84001e-44
8.97164e+11 0 0 0 0 2.41003e-45 1.51472e-44
1.12946e+12 0 0 0 0 9.4956e-46 5.97493e-45
1.42191e+12 0 0 0 0 3.7413e-46 2.35685e-45
1.79008e+12 0 0 0 0 1.47409e-46 9.29678e-46
2.25357e+12 0 0 0 0 5.80795e-47 3.66718e-46
2.83708e+12 0 0 0 0 2.28835e-47 1.44655e-46
3.57167e+12 0 0 0 0 9.01618e-48 5.70601e-47
4.49647e+12 0 0 0 0 3.55241e-48 2.25078e-47
5.66072e+12 0 0 0 0 1.39966e-48 8.87836e-48
7.12643e+12 0 0 0 0 5.51471e-49 3.50213e-48
8.97164e+12 0 0 0 0 2.17281e-49 1.38144e-48


11.2946 4.68226e-17 4.35127e-17 4.35127e-17 1.33848e-16 0.000160146 0.00030015
14.2191 4.54324e-17 4.24496e-17 4.24496e-17 1.30332e-16 8.22695e-05 0.000154147
17.9008 4.35767e-17 4.09607e-17 4.09607e-17 1.25498e-16 4.16567e-05 7.87627e-05
22.5357 4.11972e-17 3.89624e-17 3.89624e-17 1.19122e-16 2.08157e-05 4.00823e-05
