1.07461e-07 3.08938e-20 3.08938e-20 3.08938e-20 2969.4 9.44922e+11 0 0 0 0 2.14159e-05 0 0
1.24094e-07 4.10361e-17 4.10361e-17 4.10361e-17 3276.79 8.17576e+11 0 0 0 0 2.47307e-05 0 0
1.43301e-07 2.12053e-14 2.12053e-14 2.12053e-14 3640.07 7.12013e+11 0 0 0 0 2.85586e-05 0 0
1.65482e-07 4.83912e-12 4.83912e-12 4.83912e-12 4067.92 6.23722e+11 0 0 0 0 3.29789e-05 0 0
1.91095e-07 5.43949e-10 5.43949e-10 5.43949e-10 4568.09 5.48918e+11 0 0 0 0 3.80835e-05 0 0
2.20673e-07 3.30919e-08 3.30919e-08 3.30919e-08 5147.52 4.846e+11 0 0 0 0 4.39781e-05 0 0
2.5483e-07 1.18206e-06 1.18206e-06 1.18206e-06 5813.04 4.2852e+11 0 0 0 0 5.07851e-05 0 0
2.94273e-07 2.66075e-05 2.66075e-05 2.66075e-05 6572.45 3.79088e+11 0 0 0 0 5.86458e-05 0 0
3.39821e-07 0.000401351 0.000401351 0.000401351 7435.72 3.35213e+11 0 0 0 0 6.77231e-05 0 0
3.92419e-07 0.00428013 0.00428013 0.00428013 8416.11 2.96151e+11 0 0 0 0 7.82054e-05 0 0
4.53158e-07 0.0338107 0.0338107 0.0338107 9530.9 2.61363e+11 0 0 0 0 9.03102e-05 0 0
5.23299e-07 0.206029 0.206029 0.206029 10802 2.30422e+11 0 0 0 0 0.000104289 0 0
6.04296e-07 1.00318 1.00318 1.00318 12256.3 2.0296e+11 0 0 0 0 0.000120431 0 0
6.97831e-07 4.02402 4.02402 4.02402 13926.5 1.78638e+11 0 0 0 0 0.000139071 0 0
8.05842e-07 13.6538 13.6538 13.6538 15851.1 1.57138e+11 0 0 0 0 0.000160597 0 0
9.30572e-07 40.0943 40.0943 40.0943 18075.7 1.38162e+11 0 0 0 0 0.000185454 0 0
1.07461e-06 103.923 103.923 103.923 20653.4 1.21432e+11 0 0 0 0 0.000214159 0 0
1.24094e-06 241.844 241.844 241.844 23646.3 1.0669e+11 0 0 0 0 0.000247307 0 0
1.43301e-06 512.799 512.799 512.799 27127.7 9.37031e+10 0 0 0 0 0.000285586 0 0
1.65482e-06 1003.42 1003.42 1003.42 31184.7 8.22608e+10 0 0 0 0 0.000329789 0 0
1.91095e-06 1832.09 1832.09 1832.09 35922.4 7.21781e+10 0 0 0 0 0.000380835 0 0
